false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
0.181,0.9252355926060167,0.9219219219219219,0.9328832910474809,0.9264264264264265,0.9203968829285973,0.9324324324324325
0.182,0.9252355926060167,0.9234234234234234,0.9328832910474809,0.9264264264264265,0.9203968829285973,0.9324324324324325
0.183,0.9282529902138457,0.9234234234234234,0.9328832910474809,0.9279279279279279,0.9203968829285973,0.933933933933934
0.184,0.9282529902138457,0.924924924924925,0.9328832910474809,0.9294294294294294,0.9203968829285973,0.933933933933934
0.185,0.9282529902138457,0.9264264264264265,0.9328832910474809,0.9324324324324325,0.9203968829285973,0.9369369369369369
0.186,0.9282529902138457,0.9279279279279279,0.9344961942732875,0.9324324324324325,0.9203968829285973,0.9369369369369369
0.187,0.9282529902138457,0.9279279279279279,0.9344961942732875,0.9324324324324325,0.9220097861544038,0.9369369369369369
0.188,0.9282529902138457,0.9309309309309309,0.9344961942732875,0.9369369369369369,0.9220097861544038,0.9369369369369369
0.189,0.929865893439652,0.9309309309309309,0.9344961942732875,0.9384384384384384,0.9236226893802102,0.9369369369369369
0.19,0.929865893439652,0.933933933933934,0.9344961942732875,0.93993993993994,0.9252355926060167,0.9369369369369369
0.191,0.9314787966654585,0.933933933933934,0.9361090974990939,0.93993993993994,0.9252355926060167,0.93993993993994
0.192,0.9314787966654585,0.9354354354354354,0.9361090974990939,0.9429429429429429,0.9252355926060167,0.93993993993994
0.193,0.933091699891265,0.9354354354354354,0.9361090974990939,0.9444444444444444,0.9252355926060167,0.93993993993994
0.194,0.9347046031170714,0.9384384384384384,0.9361090974990939,0.9474474474474475,0.9252355926060167,0.9414414414414415
0.195,0.9347046031170714,0.9384384384384384,0.9361090974990939,0.9474474474474475,0.9252355926060167,0.9429429429429429
0.196,0.9347046031170714,0.93993993993994,0.9361090974990939,0.9474474474474475,0.9252355926060167,0.9459459459459459
0.197,0.9363175063428779,0.93993993993994,0.9361090974990939,0.948948948948949,0.9252355926060167,0.9459459459459459
0.198,0.9379304095686842,0.9429429429429429,0.9377220007249003,0.9504504504504504,0.9252355926060167,0.9474474474474475
0.199,0.9379304095686842,0.9429429429429429,0.9377220007249003,0.9504504504504504,0.9284613990576296,0.9474474474474475
0.2,0.9379304095686842,0.9429429429429429,0.9393349039507068,0.9519519519519519,0.9284613990576296,0.948948948948949
0.201,0.9379304095686842,0.9444444444444444,0.9393349039507068,0.9534534534534534,0.9284613990576296,0.9504504504504504
0.202,0.9379304095686842,0.9444444444444444,0.9409478071765133,0.9534534534534534,0.930074302283436,0.9519519519519519
0.203,0.9379304095686842,0.9444444444444444,0.9409478071765133,0.9534534534534534,0.930074302283436,0.9519519519519519
0.20400000000000001,0.9379304095686842,0.9444444444444444,0.9409478071765133,0.954954954954955,0.930074302283436,0.9534534534534534
0.20500000000000002,0.9409478071765133,0.9444444444444444,0.9425607104023197,0.954954954954955,0.930074302283436,0.9534534534534534
0.20600000000000002,0.9409478071765133,0.9474474474474475,0.9457865168539326,0.954954954954955,0.930074302283436,0.9534534534534534
0.20700000000000002,0.9409478071765133,0.9474474474474475,0.9457865168539326,0.9564564564564565,0.930074302283436,0.9534534534534534
0.20800000000000002,0.9409478071765133,0.9504504504504504,0.9457865168539326,0.9564564564564565,0.930074302283436,0.954954954954955
0.209,0.9409478071765133,0.9504504504504504,0.9457865168539326,0.9579579579579579,0.930074302283436,0.954954954954955
0.21,0.9409478071765133,0.9504504504504504,0.9457865168539326,0.9594594594594594,0.9316872055092424,0.9564564564564565
0.211,0.9409478071765133,0.9504504504504504,0.9457865168539326,0.9594594594594594,0.933300108735049,0.9564564564564565
0.212,0.9409478071765133,0.9504504504504504,0.9473994200797391,0.9594594594594594,0.933300108735049,0.9564564564564565
0.213,0.9409478071765133,0.9519519519519519,0.9473994200797391,0.960960960960961,0.933300108735049,0.9564564564564565
