averaging,model,false_positive_rate,mean_true_positive_rate,ci95_low,ci95_high,run_count
macro,M_0,0.333,0.9345311848420124,0.8879060879172699,0.9811562817667548,10
macro,M_0,0.334,0.9348609629102855,0.8883334218727018,0.9813885039478693,10
macro,M_0,0.335,0.935116239327509,0.8885533354258119,0.981679143229206,10
macro,M_0,0.336,0.9353963269477046,0.8888526072387432,0.981940046656666,10
macro,M_0,0.337,0.9353963269477046,0.8888526072387432,0.981940046656666,10
macro,M_0,0.338,0.9354148867101397,0.8888792570936153,0.9819505163266642,10
macro,M_0,0.339,0.9355334464725746,0.8890578115090025,0.9820090814361467,10
macro,M_0,0.34,0.9358773266567919,0.8895005550079536,0.9822540983056303,10
macro,M_0,0.341,0.9358958864192269,0.8895269656972468,0.9822648071412071,10
macro,M_0,0.342,0.9361127088491334,0.8900268996503504,0.9821985180479165,10
macro,M_0,0.343,0.936629534462887,0.8904655910323033,0.9827934778934707,10
macro,M_0,0.344,0.9369090088742489,0.8909417485957524,0.9828762691527454,10
macro,M_0,0.345,0.9369799308600644,0.8909831835347147,0.982976678185414,10
macro,M_0,0.346,0.937407926011861,0.8917330735766922,0.9830827784470297,10
