run,false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
1,0.165,0.7763631123919308,0.7804014167650531,0.8546224783861671,0.8512396694214877,0.6797579250720461,0.6646989374262101
1,0.166,0.7773631123919309,0.7851239669421488,0.8546224783861671,0.8536009445100354,0.6797579250720461,0.6646989374262101
1,0.167,0.7773631123919309,0.7851239669421488,0.8546224783861671,0.8536009445100354,0.6797579250720461,0.6658795749704841
1,0.168,0.7773631123919309,0.7863046044864227,0.8546224783861671,0.8547815820543093,0.6807579250720461,0.667060212514758
1,0.169,0.7773631123919309,0.7886658795749705,0.8556224783861672,0.8547815820543093,0.6807579250720461,0.667060212514758
1,0.17,0.7793631123919309,0.7886658795749705,0.8556224783861672,0.8571428571428571,0.6807579250720461,0.667060212514758
1,0.171,0.7808040345821325,0.7886658795749705,0.8566224783861671,0.8583234946871311,0.6821988472622478,0.667060212514758
1,0.172,0.7808040345821325,0.7922077922077922,0.8576224783861672,0.8583234946871311,0.6821988472622478,0.6682408500590319
1,0.173,0.7822449567723343,0.7933884297520661,0.8586224783861671,0.859504132231405,0.6841988472622478,0.6694214876033058
1,0.174,0.7822449567723343,0.7981109799291618,0.8600634005763689,0.8630460448642266,0.6841988472622478,0.6694214876033058
1,0.175,0.783685878962536,0.7981109799291618,0.8600634005763689,0.8642266824085005,0.6856397694524496,0.6694214876033058
1,0.176,0.7851268011527377,0.8016528925619835,0.8620634005763689,0.8665879574970484,0.6856397694524496,0.6706021251475797
1,0.177,0.7865677233429396,0.8016528925619835,0.8620634005763689,0.8665879574970484,0.6856397694524496,0.6729634002361276
1,0.178,0.7865677233429396,0.8028335301062574,0.8620634005763689,0.8665879574970484,0.6856397694524496,0.6765053128689492
1,0.179,0.7865677233429396,0.8028335301062574,0.8630634005763689,0.8665879574970484,0.6870806916426513,0.6765053128689492
1,0.18,0.7875677233429395,0.8028335301062574,0.8630634005763689,0.8665879574970484,0.6870806916426513,0.6776859504132231
1,0.181,0.7885677233429396,0.8028335301062574,0.8630634005763689,0.8665879574970484,0.688521613832853,0.6788665879574971
1,0.182,0.7895677233429395,0.8028335301062574,0.8630634005763689,0.8665879574970484,0.6909625360230547,0.6812278630460449
1,0.183,0.7895677233429395,0.8040141676505312,0.8630634005763689,0.8665879574970484,0.6909625360230547,0.6824085005903188
1,0.184,0.7945677233429395,0.8051948051948052,0.8655043227665706,0.8677685950413223,0.6909625360230547,0.6824085005903188
1,0.185,0.7975677233429395,0.8063754427390791,0.8655043227665706,0.8677685950413223,0.6909625360230547,0.6824085005903188
1,0.186,0.7975677233429395,0.807556080283353,0.8665043227665706,0.8689492325855962,0.6909625360230547,0.6835891381345927
1,0.187,0.7985677233429395,0.8087367178276269,0.8665043227665706,0.8689492325855962,0.6944034582132566,0.6847697756788665
1,0.188,0.7985677233429395,0.8087367178276269,0.8665043227665706,0.8713105076741441,0.6944034582132566,0.6859504132231405
1,0.189,0.8005677233429395,0.8110979929161747,0.8675043227665706,0.872491145218418,0.6944034582132566,0.6894923258559622
1,0.19,0.804449567723343,0.8122786304604487,0.8695043227665706,0.8736717827626919,0.6944034582132566,0.6894923258559622
1,0.191,0.806449567723343,0.8146399055489965,0.8695043227665706,0.8748524203069658,0.6944034582132566,0.6894923258559622
1,0.192,0.8074495677233429,0.8146399055489965,0.8695043227665706,0.8748524203069658,0.6958443804034582,0.6906729634002361
1,0.193,0.808449567723343,0.8158205430932703,0.8695043227665706,0.8748524203069658,0.69728530259366,0.69185360094451
1,0.194,0.8118904899135446,0.8158205430932703,0.8705043227665706,0.8748524203069658,0.69828530259366,0.6942148760330579
1,0.195,0.8133314121037464,0.8170011806375442,0.8729452449567723,0.8748524203069658,0.69828530259366,0.6942148760330579
1,0.196,0.8147723342939481,0.8181818181818182,0.8749452449567723,0.8760330578512396,0.69828530259366,0.6953955135773318
1,0.197,0.8172132564841499,0.8181818181818182,0.8759452449567724,0.8760330578512396,0.69828530259366,0.6953955135773318
1,0.198,0.8192132564841499,0.8181818181818182,0.8759452449567724,0.8772136953955135,0.7007262247838617,0.6953955135773318
1,0.199,0.8202132564841498,0.8193624557260921,0.8769452449567723,0.8772136953955135,0.7027262247838617,0.6953955135773318
1,0.2,0.8212132564841499,0.820543093270366,0.8779452449567724,0.8772136953955135,0.7027262247838617,0.6953955135773318
1,0.201,0.8212132564841499,0.820543093270366,0.8779452449567724,0.8783943329397875,0.7041671469740634,0.6965761511216056
1,0.202,0.8222132564841498,0.8217237308146399,0.8789452449567723,0.8783943329397875,0.7076080691642652,0.6989374262101535
1,0.203,0.8222132564841498,0.8240850059031877,0.8789452449567723,0.8795749704840614,0.7076080691642652,0.7001180637544274
1,0.204,0.8222132564841498,0.8240850059031877,0.8803861671469742,0.8795749704840614,0.7076080691642652,0.7001180637544274
1,0.205,0.8222132564841498,0.8240850059031877,0.8803861671469742,0.8795749704840614,0.7090489913544669,0.7012987012987013
1,0.206,0.8232132564841499,0.8240850059031877,0.8803861671469742,0.8795749704840614,0.7090489913544669,0.7012987012987013
1,0.207,0.8232132564841499,0.8252656434474617,0.8803861671469742,0.8807556080283353,0.7090489913544669,0.7012987012987013
1,0.208,0.8232132564841499,0.8252656434474617,0.881386167146974,0.8819362455726092,0.7114899135446686,0.7024793388429752
