lambda,selected_data_weight,C,selection_k_per_class,macro_auc_mean,macro_auc_std,fold_count,micro_auc_mean,micro_auc_std,mean_selected_count,macro_auc_se,micro_auc_se,complete_cv
0.0001,0.01,0.01,40,0.9880381118361186,0.0036989557482547436,3,0.9880372977790334,0.003805078790407739,52.333333333333336,0.00213559309697539,0.002196863263929644,True
0.01,10.0,0.1,40,0.9880200655301721,0.004980405088844094,3,0.9880302899963679,0.004858495027501853,80.0,0.00287543821871752,0.0028050534119846535,True
0.025,0.01,0.01,40,0.9880054751074256,0.0037655913530500297,3,0.9879966265143514,0.003852997481184779,80.0,0.0021740651813415618,0.0022245291329489824,True
0.005,10.0,0.01,40,0.9879671307052286,0.0035943602421730793,3,0.9879885171693067,0.003628046009092841,80.0,0.002075204853383116,0.002094653339982099,True
0.01,1.0,0.1,40,0.9879043639164956,0.004751629218462549,3,0.9879660274082612,0.004667488392096564,80.0,0.0027433544083686435,0.0026947756796164048,True
0.005,1.0,0.1,40,0.9878891312854222,0.004838470921785229,3,0.987941582781858,0.004718975564851806,80.0,0.0027934924891588786,0.002724501812666457,True
0.001,1.0,0.1,40,0.9877579802897817,0.004106466922850876,3,0.9878448320245283,0.0038645335021894153,79.66666666666667,0.0023708697833262475,0.0022311894577813863,True
0.01,10.0,0.01,40,0.9877312252736669,0.003997539475341473,3,0.9877018838839339,0.0041115309113713815,80.0,0.002307980492184555,0.0023737934784617346,True
0.001,0.1,0.1,40,0.9874586434650277,0.004892341796309209,3,0.9874523533451415,0.004774690198526621,79.66666666666667,0.0028245948530667793,0.002756668671416413,True
0.001,10.0,0.01,40,0.9874217487240083,0.003205558857671552,3,0.9876147484792838,0.003018990818395264,79.33333333333333,0.00185073026937986,0.0017430151616815144,True
0.001,10.0,0.1,40,0.9873867871734219,0.0033506379411681396,3,0.9875308375793085,0.0031071942047117412,79.66666666666667,0.001934491717290399,0.0017939394105147691,True
0.025,10.0,0.1,40,0.9873741080142692,0.005454251137229265,3,0.9873675707999677,0.005408638167368568,80.0,0.0031490133623071387,0.003122678701879527,True
0.0001,0.1,0.1,40,0.9873261325376,0.005036389117471331,3,0.9872856634724879,0.004997606691139028,53.333333333333336,0.002907760612715775,0.002885369568432993,True
0.005,0.1,0.1,40,0.987312688853784,0.005088530340479541,3,0.9873096136565565,0.005071918422604981,80.0,0.0029378643618554415,0.002928273466598808,True
0.0001,1.0,0.1,40,0.9872900312570131,0.0046202840685725475,3,0.9873584675981397,0.004581835165085952,53.333333333333336,0.0026675222507228998,0.002645323765944868,True
0.01,0.1,0.1,40,0.9872518783994222,0.005079956488560007,3,0.9873198190454998,0.005057241950019819,80.0,0.002932914246141706,0.002919800001201011,True
0.025,1.0,0.1,40,0.9870831115401592,0.005348591050796026,3,0.9871589584659045,0.005295365954337659,80.0,0.003088010482962309,0.0030572809591944273,True
0.001,0.01,0.1,40,0.9869353105268885,0.005311258715818224,3,0.9869762841009377,0.005281097888888345,79.66666666666667,0.003066456649313398,0.0030490432877664504,True
0.025,0.1,0.1,40,0.9869236230686679,0.005339321199694439,3,0.9869620101687829,0.0053243594906949,80.0,0.0030826585319334602,0.0030740203852150398,True
0.01,0.01,0.1,40,0.9869148101036175,0.005345689116960014,3,0.9869680921424205,0.0053243472232597875,80.0,0.0030863350506809173,0.003074013302608075,True
0.0001,0.01,0.1,40,0.9869112460240705,0.005318050908860202,3,0.9869520331425813,0.0052806017016788056,53.333333333333336,0.0030703781237945717,0.0030487568139474543,True
0.005,0.01,0.1,40,0.986910636683616,0.005359264721175538,3,0.986970136878349,0.00532256166905054,80.0,0.0030941729294291617,0.003072982412404713,True
0.025,0.01,0.1,40,0.9868661224966089,0.005399197563229495,3,0.9868969193639548,0.00537548782521528,80.0,0.0031172281665385205,0.003103539342913598,True
0.01,10.0,1.0,40,0.9868030912390949,0.005880583374326855,3,0.9868645728839914,0.0056749136359137125,80.0,0.003395156394159648,0.00327641291532266,True
0.0001,10.0,0.01,40,0.9867536079257665,0.0028708188448959633,3,0.9868684381187114,0.0029172817168462545,52.333333333333336,0.001657468032895335,0.0016842933845231587,True
0.01,1.0,1.0,40,0.9866307536764313,0.005365171584033491,3,0.9865942386425766,0.0052169411361284645,80.0,0.003097583258290267,0.003012002369290201,True
0.025,10.0,1.0,40,0.9865113502311428,0.005459042939974768,3,0.986484334500027,0.00529268629855281,80.0,0.0031517799109121586,0.003055733859205709,True
0.001,10.0,1.0,40,0.9864176672108709,0.004012374820928382,3,0.9865527396511927,0.0036888521887919307,79.33333333333333,0.0023165456829526776,0.0021297598041997616,True
0.005,10.0,1.0,40,0.986408800575581,0.004982277656718022,3,0.9865266484321026,0.004785016926334946,80.0,0.0028765193462836082,0.002762630810496397,True
0.001,1.0,1.0,40,0.986340861756415,0.004740028440648384,3,0.9865767245529963,0.004398580922241894,79.33333333333333,0.002736656696174827,0.00253952187950871,True
0.0001,10.0,0.1,40,0.9863255932146502,0.004350734696362601,3,0.9863924323000122,0.004319308701839622,53.333333333333336,0.002511897848117592,0.002493754041720199,True
0.01,0.1,1.0,40,0.9862651264495638,0.005480747659042056,3,0.9862224898001962,0.005362849040622345,80.0,0.0031643111363083426,0.0030962423372266376,True
0.025,1.0,1.0,40,0.9862207818960188,0.005481143557857981,3,0.9862144581425918,0.005296932354259973,80.0,0.0031645397085962885,0.0030581853206112335,True
